Similarity,Occurrence,Core_OTUs,Core_Counts,Total_Counts,Percent_Core
85,100,10,1077947,2357227,45.73
85,95,25,1578464,2357227,66.96
85,90,34,1711927,2357227,72.62
85,85,46,1864794,2357227,79.11
85,80,55,1937087,2357227,82.18
85,75,66,1997048,2357227,84.72
85,70,76,2061290,2357227,87.45
85,65,87,2115819,2357227,89.76
85,60,92,2136982,2357227,90.66
85,55,102,2183087,2357227,92.61
85,50,106,2189353,2357227,92.88
87,100,10,997039,2357227,42.3
87,95,25,1442552,2357227,61.2
87,90,34,1559920,2357227,66.18
87,85,42,1665030,2357227,70.64
87,80,53,1758879,2357227,74.62
87,75,70,1890731,2357227,80.21
87,70,81,1959103,2357227,83.11
87,65,90,2018393,2357227,85.63
87,60,99,2054228,2357227,87.15
87,55,114,2117270,2357227,89.82
87,50,123,2146236,2357227,91.05
90,100,8,719077,2357227,30.51
90,95,25,1191211,2357227,50.53
90,90,40,1402782,2357227,59.51
90,85,50,1582482,2357227,67.13
90,80,59,1668352,2357227,70.78
90,75,72,1765071,2357227,74.88
90,70,83,1837722,2357227,77.96
90,65,95,1896898,2357227,80.47
90,60,100,1919603,2357227,81.43
90,55,117,1985428,2357227,84.23
90,50,128,2017204,2357227,85.58
93,100,5,316807,2357227,13.44
93,95,21,861572,2357227,36.55
93,90,39,1180490,2357227,50.08
93,85,51,1363819,2357227,57.86
93,80,59,1434786,2357227,60.87
93,75,71,1549796,2357227,65.75
93,70,80,1602325,2357227,67.97
93,65,97,1697041,2357227,71.99
93,60,108,1761731,2357227,74.74
93,55,119,1810285,2357227,76.8
93,50,135,1861407,2357227,78.97
95,100,2,193499,2357227,8.21
95,95,14,597170,2357227,25.33
95,90,29,930477,2357227,39.47
95,85,42,1116087,2357227,47.35
95,80,50,1213739,2357227,51.49
95,75,61,1303468,2357227,55.3
95,70,73,1386757,2357227,58.83
95,65,86,1464050,2357227,62.11
95,60,98,1517681,2357227,64.38
95,55,114,1589122,2357227,67.41
95,50,136,1666538,2357227,70.7
97,100,1,119807,2357227,5.08
97,95,11,380420,2357227,16.14
97,90,23,645393,2357227,27.38
97,85,36,828678,2357227,35.15
97,80,45,941237,2357227,39.93
97,75,53,1004699,2357227,42.62
97,70,58,1040118,2357227,44.12
97,65,70,1133250,2357227,48.08
97,60,86,1226266,2357227,52.02
97,55,105,1333255,2357227,56.56
97,50,128,1422580,2357227,60.35
